,Unnamed: 0,code,最新价,最新涨跌幅,market_code,股票代码,流通a股[20100104],股票简称,dde大单净流入量[20100104],资金流向[20100104],dde大单净量[20100104],集中度90[20100104],主力资金流向[20100104],主力卖出金额[20100104],90%成本上限[20100104],主力买入金额[20100104],平均成本[20100104],资金流出inner[20100104],收盘获利[20100104],集中度70[20100104],90%成本下限[20100104],资金流入inner[20100104]
27,,600814,5.72,1.060,17,600814.SH,310383021.0,杭州解百,238257.0,-6410756.0,0.07676225,13.618,-3467249.0,12521153.0,8.26,9053904.0,7.76,27804762.0,83.009,9.825,6.28,21394006.0
28,,600755,6.56,1.548,17,600755.SH,511808946.0,厦门国贸,-2641825.0,4033022.0,-0.51617406,17.196,-15067186.0,108706377.0,4.43,93639191.0,3.92,180666963.0,87.03,11.139,3.13,184699985.0
29,,600784,6.60,1.383,17,600784.SH,200351471.0,鲁银投资,-293045.0,-6286787.0,-0.14626546,10.814,-2476063.0,3613813.0,4.97,1137750.0,4.39,14888630.0,35.936,7.744,4.0,8601843.0
30,,600793,12.28,1.488,17,600793.SH,105300000.0,宜宾纸业,-39300.0,-985883.0,-0.03732194,23.504,-7660.0,1319466.0,8.67,1311806.0,7.68,2893840.0,69.633,19.492,5.37,1907957.0
31,,600770,7.53,0.668,17,600770.SH,405000000.0,综艺股份,260843.0,8484733.0,0.06440568,12.573,340055.0,43989507.0,7.7,44329562.0,7.08,100613038.0,86.1,7.649,5.98,109097771.0
32,,600765,29.95,2.114,17,600765.SH,89700000.0,中航重机,-166440.0,-3268923.0,-0.18555184,15.185,-1949933.0,4503200.0,15.55,2553267.0,14.4,10705003.0,39.095,10.469,11.45,7436080.0
33,,600773,18.81,3.636,17,600773.SH,166483659.0,西藏城投,-200600.0,-6281210.0,-0.12049231,11.628,-2877841.0,5319308.0,9.6,2441467.0,8.96,14595393.0,48.745,6.956,7.6,8314183.0
34,,600792,3.75,0.807,17,600792.SH,126225000.0,云煤能源,25624.0,-1640525.0,0.02030026,27.778,336537.0,1647603.0,6.9,1984140.0,6.15,6288890.0,65.485,18.579,3.9,4648365.0
35,,600790,3.84,1.857,17,600790.SH,457177272.0,轻纺城,4922118.0,33413050.0,1.07663226,13.828,35399907.0,27625555.0,3.91,63025462.0,3.7,71098935.0,95.16,6.944,2.96,104511985.0
36,,600816,4.05,0.248,22,600816.SH,453849778.0,ST安信,-1129307.0,-42462209.0,-0.24882837,24.675,-32222986.0,44565007.0,2.4,12342021.0,1.9,82694049.0,64.698,14.721,1.45,40231840.0
37,,002691,4.95,0.815,33,002691.SZ,,冀凯股份,,,,,,,,,,,,,,
38,,002686,5.70,1.786,33,002686.SZ,,亿利达,,,,,,,,,,,,,,
39,,600774,10.46,2.953,17,600774.SH,171856608.0,汉商集团,-303125.0,-1971555.0,-0.17638251,8.638,-2123076.0,2801236.0,6.54,678160.0,6.14,7702334.0,31.107,5.824,5.5,5730779.0
40,,600804,3.43,3.003,22,600804.SH,502218637.0,ST鹏博士,3104473.0,39347746.0,0.61815169,12.853,34211815.0,12184729.0,10.8,46396544.0,9.84,36641846.0,72.872,6.912,8.34,75989592.0
41,,600809,277.94,1.586,17,600809.SH,432924133.0,山西汾酒,10965.0,350678.0,0.00253278,34.471,1704685.0,8316440.0,9.85,10021125.0,6.15,25714444.0,89.978,28.082,4.8,26065122.0
42,,002701,4.74,1.282,33,002701.SZ,,奥瑞金,,,,,,,,,,,,,,
43,,002728,12.34,2.919,33,002728.SZ,,特一药业,,,,,,,,,,,,,,
44,,600798,3.68,1.939,17,600798.SH,549187500.0,宁波海运,-547923.0,-8549034.0,-0.09976975,9.954,-2850328.0,4531945.0,5.91,1681617.0,5.57,16328034.0,29.458,5.206,4.84,7779000.0
